RunId,iteration,Step,width,height,density,seed,green_ratio,stress_ratio,Average_Mood,Mood_StdDev,Num_Isolated
1,0,100,20,20,0.5,42,0.1,0.2,-0.33330484825499523,0.1483704987294106,39
0,0,100,20,20,0.5,42,0.1,0.1,-0.12210990396764732,0.2789419067685225,17
2,0,100,20,20,0.5,42,0.1,0.3,-0.3448106817364546,0.159690094283435,64
3,0,100,20,20,0.5,42,0.2,0.1,1.1489686988586674,0.2333178868881599,0
5,0,100,20,20,0.5,42,0.2,0.3,-0.29238423206554764,0.15948259737650833,64
6,0,100,20,20,0.5,42,0.3,0.1,2.4204057334968705,0.20540707431737448,0
7,0,100,20,20,0.5,42,0.3,0.2,0.7191893134378495,0.4563613563625721,1
8,0,100,20,20,0.5,42,0.3,0.3,-0.20907985170608556,0.21511493177552757,49
9,1,100,20,20,0.5,42,0.1,0.1,-0.12210990396764732,0.2789419067685225,17
10,1,100,20,20,0.5,42,0.1,0.2,-0.33330484825499523,0.1483704987294106,39
11,1,100,20,20,0.5,42,0.1,0.3,-0.3448106817364546,0.159690094283435,64
12,1,100,20,20,0.5,42,0.2,0.1,1.1489686988586674,0.2333178868881599,0
13,1,100,20,20,0.5,42,0.2,0.2,-0.2011024020964519,0.216546460329261,39
14,1,100,20,20,0.5,42,0.2,0.3,-0.29238423206554764,0.15948259737650833,64
15,1,100,20,20,0.5,42,0.3,0.1,2.4204057334968705,0.20540707431737448,0
16,1,100,20,20,0.5,42,0.3,0.2,0.7191893134378495,0.4563613563625721,1
17,1,100,20,20,0.5,42,0.3,0.3,-0.20907985170608556,0.21511493177552757,49
18,2,100,20,20,0.5,42,0.1,0.1,-0.12210990396764732,0.2789419067685225,17
19,2,100,20,20,0.5,42,0.1,0.2,-0.33330484825499523,0.1483704987294106,39
20,2,100,20,20,0.5,42,0.1,0.3,-0.3448106817364546,0.159690094283435,64
21,2,100,20,20,0.5,42,0.2,0.1,1.1489686988586674,0.2333178868881599,0
22,2,100,20,20,0.5,42,0.2,0.2,-0.2011024020964519,0.216546460329261,39
4,0,100,20,20,0.5,42,0.2,0.2,-0.2011024020964519,0.216546460329261,39
23,2,100,20,20,0.5,42,0.2,0.3,-0.29238423206554764,0.15948259737650833,64
24,2,100,20,20,0.5,42,0.3,0.1,2.4204057334968705,0.20540707431737448,0
26,2,100,20,20,0.5,42,0.3,0.3,-0.20907985170608556,0.21511493177552757,49
27,3,100,20,20,0.5,42,0.1,0.1,-0.12210990396764732,0.2789419067685225,17
28,3,100,20,20,0.5,42,0.1,0.2,-0.33330484825499523,0.1483704987294106,39
29,3,100,20,20,0.5,42,0.1,0.3,-0.3448106817364546,0.159690094283435,64
30,3,100,20,20,0.5,42,0.2,0.1,1.1489686988586674,0.2333178868881599,0
31,3,100,20,20,0.5,42,0.2,0.2,-0.2011024020964519,0.216546460329261,39
32,3,100,20,20,0.5,42,0.2,0.3,-0.29238423206554764,0.15948259737650833,64
33,3,100,20,20,0.5,42,0.3,0.1,2.4204057334968705,0.20540707431737448,0
34,3,100,20,20,0.5,42,0.3,0.2,0.7191893134378495,0.4563613563625721,1
35,3,100,20,20,0.5,42,0.3,0.3,-0.20907985170608556,0.21511493177552757,49
36,4,100,20,20,0.5,42,0.1,0.1,-0.12210990396764732,0.2789419067685225,17
37,4,100,20,20,0.5,42,0.1,0.2,-0.33330484825499523,0.1483704987294106,39
38,4,100,20,20,0.5,42,0.1,0.3,-0.3448106817364546,0.159690094283435,64
39,4,100,20,20,0.5,42,0.2,0.1,1.1489686988586674,0.2333178868881599,0
40,4,100,20,20,0.5,42,0.2,0.2,-0.2011024020964519,0.216546460329261,39
41,4,100,20,20,0.5,42,0.2,0.3,-0.29238423206554764,0.15948259737650833,64
42,4,100,20,20,0.5,42,0.3,0.1,2.4204057334968705,0.20540707431737448,0
43,4,100,20,20,0.5,42,0.3,0.2,0.7191893134378495,0.4563613563625721,1
25,2,100,20,20,0.5,42,0.3,0.2,0.7191893134378495,0.4563613563625721,1
44,4,100,20,20,0.5,42,0.3,0.3,-0.20907985170608556,0.21511493177552757,49
